frame;ball x;ball y;ball velocity;inside;zone;centroid x_home;centroid y_home;centroid_zone_home;rest defence_home;width_home;length_home;occupancy map_home;team distance_home;centroid x_away;centroid y_away;centroid_zone_away;rest defence_away;width_away;length_away;occupancy map_away;team distance_away;close to ball
391;16.82591;16.788248;11.927751045356061;True;10.0;15.089153;11.1541624;11.0;5.0;35.48206;27.971492;[1, 0, 1, 0, 1, 1, 2, 4];4.986412355051413;8.465605199999999;13.953878800000002;10.0;7.0;37.353759999999994;32.622136000000005;[1, 0, 0, 0, 1, 2, 3, 3];9.558669507256855;Away
401;12.230386;15.521476000000002;11.927751045356704;True;10.0;15.024567199999996;10.964626;11.0;7.0;34.879307999999995;27.756841999999992;[0, 1, 0, 0, 2, 2, 1, 4];7.140563541745059;8.433720400000002;14.032690799999997;10.0;6.0;35.121523999999994;31.822260000000007;[1, 0, 0, 0, 1, 2, 3, 3];10.184422973529344;Home
411;7.638678000000001;14.25552;11.902201235484883;True;10.0;14.527978399999999;10.6710836;11.0;7.0;34.202844;27.329449999999998;[1, 0, 1, 0, 4, 1, 0, 3];10.023603074449902;8.0783978;14.0431016;10.0;4.0;32.82904;30.945746;[0, 0, 0, 0, 2, 3, 2, 3];10.94228404621757;nan
421;3.0409279999999983;12.988204000000001;12.205808658176213;True;10.0;13.638458199999999;10.3192176;11.0;8.0;33.337816000000004;26.914566;[1, 0, 1, 0, 5, 1, 0, 2];11.894326091127562;7.399541999999999;13.977114400000001;10.0;4.0;30.776732000000003;30.112586;[0, 0, 1, 0, 3, 3, 1, 2];11.232911688847615;nan
431;-1.5543840000000002;11.721431999999998;11.927751045356553;True;7.0;12.4785638;9.9757836;11.0;9.0;32.432804;26.66854;[0, 1, 0, 1, 6, 1, 0, 1];12.426403277931897;6.485981000000001;13.8537828;10.0;4.0;29.48378;29.288965999999995;[0, 1, 1, 0, 5, 2, 0, 1];10.954148225208387;Home
441;-6.147469999999999;10.455272000000003;11.628659692759467;True;8.0;11.210507000000002;9.669164799999999;11.0;10.0;31.642235999999997;26.497455999999996;[1, 0, 0, 1, 6, 1, 0, 1];11.471227936101855;5.4691654;13.7315936;10.0;3.0;28.676144;28.616820000000004;[0, 2, 0, 0, 5, 2, 0, 1];10.070319659555423;Away
451;-6.04147;10.946368000000001;11.906728822393237;True;8.0;10.031575;9.3893924;11.0;10.0;31.000112;26.272841999999997;[1, 0, 0, 1, 6, 1, 0, 1];9.038711351654602;4.496784999999999;13.639242800000002;10.0;3.0;28.120856;28.321186;[0, 1, 1, 0, 5, 2, 0, 1];8.357930037187574;Away
461;-0.21263600000000035;11.027492;14.404765851966337;True;8.0;9.126430399999998;9.143844399999999;11.0;8.0;30.552943999999997;26.044306;[1, 0, 1, 1, 5, 1, 0, 1];6.328681121897858;3.732397800000001;13.531217999999999;10.0;4.0;27.586308000000002;28.120952000000003;[0, 0, 2, 1, 3, 3, 0, 1];6.692388445220537;nan
471;5.544966;10.766099999999998;14.749683250836464;True;11.0;8.593918200000001;8.91123;11.0;7.0;30.267751999999998;25.814074000000005;[1, 1, 1, 0, 3, 1, 1, 2];5.181905123444362;3.284325199999999;13.3632376;10.0;6.0;26.867343999999996;27.745606000000002;[1, 1, 0, 1, 1, 1, 4, 1];6.241797705593365;Home
481;11.299706000000002;10.50498;14.378293987813958;True;11.0;8.4478714;8.6777792;11.0;4.0;30.036755999999997;25.499996;[2, 0, 1, 1, 0, 2, 2, 2];5.8633668348359524;3.1790990000000012;13.0968816;10.0;7.0;25.839388000000003;27.283975999999996;[0, 2, 1, 0, 0, 2, 4, 1];7.135116693254179;Away
491;15.585816;10.600995999999999;14.033376580495878;True;11.0;8.593706199999998;8.468230400000001;11.0;3.0;29.844588;25.156979999999997;[1, 2, 2, 0, 0, 0, 3, 2];6.050810788335061;3.3755064;12.7435468;10.0;9.0;24.549835999999996;27.342382;[0, 1, 1, 0, 0, 1, 6, 1];7.754544554573915;Home
501;11.305006;10.443984;11.860200219642538;True;11.0;8.835746599999998;8.273458000000002;11.0;4.0;29.688188;24.668532;[2, 1, 1, 1, 0, 1, 2, 2];5.490977842319435;3.7238330000000004;12.326625199999999;10.0;7.0;23.196159999999995;27.954319999999996;[1, 1, 1, 0, 0, 2, 4, 1];7.457891018173085;Away
511;6.779336000000001;9.02904;11.855118567521018;True;11.0;8.993559399999999;8.079386000000001;11.0;6.0;29.565516000000002;23.824348;[2, 1, 1, 0, 3, 1, 1, 1];5.187248099471693;4.0406987999999995;11.8795184;10.0;6.0;21.975967999999998;28.494284;[1, 1, 1, 0, 2, 1, 4, 0];6.785144924711985;nan
521;2.2519699999999996;7.613416000000001;11.85511856752189;True;11.0;8.9654694;7.9074208000000015;11.0;7.0;29.427612000000003;22.712408000000003;[2, 0, 2, 0, 4, 1, 0, 1];6.377719338775565;4.203504199999999;11.4789916;10.0;4.0;21.080272000000004;28.884046000000005;[0, 0, 2, 1, 3, 3, 1, 0];7.504175849909561;Away
531;-1.8800159999999988;6.435384000000001;11.860200219642286;True;8.0;8.726237999999999;7.7600511999999995;11.0;9.0;29.187708;21.443058000000004;[0, 1, 1, 0, 6, 1, 0, 1];7.921819590135785;4.1640722000000014;11.134286;11.0;4.0;20.450727999999998;29.007218;[1, 1, 2, 0, 4, 2, 0, 0];9.10949042953176;Home
541;-1.686778000000001;7.85604;6.324490750250276;True;8.0;8.303552400000001;7.6428259999999995;11.0;9.0;28.71062;20.207628;[1, 1, 0, 1, 5, 1, 0, 1];8.428639713647962;3.8939948;10.8520928;11.0;3.0;19.982139999999998;28.910122;[2, 0, 1, 1, 4, 2, 0, 0];9.083011239299118;Away
551;-0.42781599999999836;9.818316;6.324490750250289;True;8.0;7.728565999999999;7.579558799999999;11.0;8.0;27.993627999999998;20.288929999999997;[1, 1, 0, 1, 5, 1, 0, 1];8.684307367635236;3.3470666000000002;10.5448484;11.0;4.0;19.580464;28.731935999999997;[1, 0, 0, 3, 3, 2, 1, 0];9.603082039602434;Home
561;-0.1780799999999992;10.353544000000001;0.5465757038141461;True;8.0;7.029135600000001;7.546027999999998;11.0;7.0;27.126220000000004;21.711344000000004;[1, 1, 1, 0, 5, 1, 0, 1];8.958790773227669;2.5654543999999997;10.2652528;11.0;4.0;19.227204;28.435029999999998;[0, 1, 0, 3, 3, 1, 2, 0];11.190720874991113;Home
571;-1.5247039999999996;9.419088;0.4446054430616496;True;8.0;6.200459399999999;7.464938000000002;11.0;8.0;26.283904;23.431088;[2, 0, 1, 0, 5, 1, 0, 1];9.76796077954302;1.5591964;9.997768;11.0;3.0;18.979208000000003;28.031806;[1, 1, 1, 1, 3, 1, 2, 0];12.184893118416536;Away
581;-5.531291999999999;6.146520000000001;13.22397829701832;True;8.0;5.2331458;7.282636800000001;11.0;9.0;25.525432000000006;25.29584;[2, 1, 0, 0, 5, 1, 0, 1];10.94861930178787;0.44143699999999997;9.636246;11.0;2.0;18.987911999999998;27.693348;[2, 2, 1, 0, 3, 2, 0, 0];12.830284473309012;nan
591;-9.619288000000001;2.7990839999999997;13.19270640354014;True;8.0;4.134551199999999;6.969116;11.0;9.0;24.794023999999993;26.876936;[0, 0, 0, 0, 7, 2, 0, 1];12.233693935340792;-0.7606666000000007;9.1200172;8.0;2.0;19.289968;27.486118000000005;[1, 1, 1, 0, 4, 3, 0, 0];13.71386144315353;nan
601;-13.707283999999998;-0.5484200000000007;13.213210699902433;True;8.0;2.919600400000001;6.506852;11.0;10.0;24.868007999999996;28.143953999999997;[0, 0, 0, 1, 7, 2, 0, 0];13.310529484811765;-2.0088908000000005;8.406173599999999;8.0;0.0;19.892108;27.356056000000002;[0, 1, 0, 0, 5, 4, 0, 0];15.08584159219624;Away
611;-16.228246666666667;-3.1032933333333337;13.192706403538944;True;8.0;1.6320502000000001;5.939670799999999;11.0;10.0;25.568543999999996;29.071241999999998;[0, 0, 0, 1, 7, 2, 0, 0];13.719662814450006;-3.299197000000001;7.476171600000001;8.0;0.0;20.655884;27.862629999999996;[1, 0, 0, 0, 5, 4, 0, 0];15.925111865092237;Away
621;-15.130652000000001;-4.194104;5.6585720150937036;True;8.0;0.3637178000000013;5.2491512;11.0;9.0;26.276628000000002;29.645125999999998;[0, 0, 1, 0, 6, 3, 0, 0];13.268225305210485;-4.5672749999999995;6.38809;8.0;2.0;21.547228;28.926022;[0, 0, 0, 1, 4, 5, 0, 0];15.852446402024057;Away
631;-15.491793999999999;-6.3591560000000005;5.5565089759669135;True;8.0;-0.7455191999999997;4.375255999999999;8.0;8.0;26.905559999999998;29.926450000000003;[0, 0, 1, 0, 6, 3, 0, 0];12.22378221595624;-5.715000599999999;5.218605599999999;8.0;2.0;23.075256000000003;29.97097;[0, 0, 0, 1, 4, 5, 0, 0];14.757721599435504;Away
641;-15.417912000000001;-8.441588;5.204429363532699;True;8.0;-1.5520308;3.3428867999999996;8.0;8.0;27.453096000000002;29.934718;[0, 0, 1, 0, 5, 4, 0, 0];11.616159245712764;-6.6283602;4.0321620000000005;8.0;1.0;24.627832;30.850876;[1, 0, 0, 1, 3, 5, 0, 0];13.091919025485465;Away
651;-14.865758;-10.362452;4.939122695378215;True;8.0;-1.9487358000000001;2.1745311999999997;8.0;8.0;27.975880000000004;30.881192;[0, 1, 0, 0, 4, 5, 0, 0];11.897959491672665;-7.210830199999999;2.8753459999999995;8.0;2.0;26.211348;31.456560000000003;[1, 0, 0, 1, 3, 5, 0, 0];11.545337709047448;Away
661;-13.905504000000002;-12.119980000000002;5.149975169842856;True;9.0;-1.9001136000000005;0.9373595999999997;8.0;8.0;28.51852;31.875259999999997;[0, 0, 1, 0, 4, 5, 0, 0];12.101143379715332;-7.402711399999999;1.7959616;8.0;2.0;27.887752000000006;31.794594;[1, 0, 0, 1, 2, 6, 0, 0];10.95740748581846;Away
671;-12.79367;-13.522139999999998;4.506003134708222;True;9.0;-1.4573198;-0.22631759999999992;8.0;8.0;29.08462;32.803078;[0, 0, 1, 0, 4, 5, 0, 0];11.955853110016555;-7.2259775999999984;0.8491363999999997;8.0;2.0;29.427135999999997;31.972992000000005;[0, 1, 0, 1, 1, 7, 0, 0];10.732812433842165;Away
681;-11.705262000000001;-14.518136000000002;3.677824798709387;True;9.0;-0.7317603999999995;-1.2195256;8.0;8.0;29.647864;33.597124;[0, 1, 0, 0, 4, 5, 0, 0];11.786594862228556;-6.743932000000001;0.05843240000000023;8.0;2.0;30.716212;32.146938000000006;[1, 1, 0, 0, 1, 7, 0, 0];11.188591971053127;Away
691;-10.683104;-15.189432;3.0315845691651795;True;9.0;0.17105219999999868;-2.0459772000000003;11.0;8.0;30.108292000000002;34.219874;[0, 1, 0, 0, 4, 5, 0, 0];11.662808677259099;-6.0305944;-0.5879076000000003;8.0;2.0;31.954084;32.475644;[1, 1, 0, 0, 1, 7, 0, 0];11.760318419385811;Away
701;-9.788888;-15.678148000000002;2.5403251760357137;True;9.0;1.188259999999999;-2.7167428;11.0;8.0;30.415992;34.730476;[0, 1, 0, 0, 4, 5, 0, 0];11.851487781378708;-5.158521800000001;-1.1034767999999997;8.0;2.0;33.078124;33.407278000000005;[1, 1, 0, 0, 2, 5, 1, 0];12.003278751023155;Away
711;-9.035651999999997;-16.033448;2.064592514275006;True;9.0;2.2715270000000003;-3.3014952;11.0;8.0;30.636924000000004;35.335948;[0, 1, 0, 0, 4, 5, 0, 0];11.503915303772247;-4.207362600000001;-1.5006376000000008;8.0;3.0;33.792872;34.962828;[1, 1, 0, 0, 2, 5, 1, 0];11.90598865043069;Away
721;-8.448836000000004;-16.323740000000004;1.7009215884336704;True;9.0;3.3157542000000007;-3.8436864;11.0;9.0;30.833920000000006;36.027173999999995;[0, 1, 0, 0, 4, 5, 0, 0];9.938269036891825;-3.2731739999999983;-1.8429428000000017;8.0;3.0;34.411739999999995;36.314222;[1, 1, 0, 0, 2, 5, 1, 0];11.04764540066716;Away
731;-8.108364000000002;-16.507952;0.9445629941937362;True;9.0;4.1836186;-4.3211348;11.0;9.0;31.027379999999994;36.46951200000001;[1, 0, 0, 0, 5, 4, 0, 0];7.650014705298385;-2.4655918000000003;-2.135981999999999;8.0;3.0;35.131316;37.297160000000005;[2, 0, 0, 0, 2, 5, 1, 0];9.547386762638244;Away
741;-8.019853999999997;-16.453484;0.3316157414841351;True;9.0;4.7641064;-4.7344796;11.0;9.0;31.016636;36.572226;[1, 0, 0, 0, 5, 4, 0, 0];5.382341096819085;-1.8516397999999987;-2.3446195999999992;8.0;4.0;35.704964;37.909946000000005;[1, 1, 0, 0, 2, 5, 1, 0];8.072296689177358;Away
751;-8.12543;-16.214736;0.5008492787256993;True;9.0;5.0139271999999995;-5.0693116;11.0;9.0;30.728724;36.323974;[1, 1, 0, 0, 5, 3, 0, 0];4.7573447483885865;-1.4568534;-2.5206783999999987;8.0;4.0;36.472139999999996;38.218723999999995;[1, 1, 0, 0, 2, 5, 1, 0];6.702469000426686;Away
761;-7.468866000000001;-15.365416000000002;1.3307232056290732;True;9.0;4.969703999999999;-5.2883056;11.0;9.0;30.300731999999996;35.706206;[1, 1, 0, 0, 5, 2, 1, 0];5.087161758525849;-1.2480652000000003;-2.6093707999999993;8.0;4.0;37.32805599999999;38.208017999999996;[1, 0, 1, 0, 2, 5, 1, 0];6.223698658269092;Away
771;-4.230460000000002;-13.357648000000001;9.930691013217764;True;9.0;4.769268599999998;-5.378133600000001;11.0;7.0;29.584624000000005;34.801496;[1, 1, 0, 1, 4, 2, 1, 0];5.524371377059612;-1.1344649999999998;-2.5594452;8.0;4.0;38.02356;37.942063999999995;[1, 0, 1, 0, 2, 5, 1, 0];6.803266388659346;nan
781;-2.07654;-10.756104;9.921854715727715;True;8.0;4.6181656;-5.2803904;11.0;7.0;28.730000000000004;33.778278;[1, 0, 1, 1, 3, 3, 1, 0];6.19704345222531;-1.0330866;-2.393300800000001;8.0;4.0;38.651948000000004;37.486369999999994;[1, 0, 1, 0, 2, 5, 1, 0];7.83901714889554;Away
